Ano,nivel_geografico,profesional,proporcion_profesional_pct,sexo
2023,rm,Enfermera/o,49.55186871646905,Hombre
2023,rm,Matrona/on,1.0910238492403408,Hombre
2023,rm,Medico/a,1.1577476218385105,Hombre
2023,rm,Nutricionista,9.202019746629999,Hombre
2023,rm,Otro profesional capacitado en EMP y EMPAM,16.544790586538028,Hombre
2023,rm,Tecnico en enfermeria,22.452549479284073,Hombre
2024,rm,Enfermera/o,46.09109837140983,Hombre
2024,rm,Matrona/on,1.3508599298365704,Hombre
2024,rm,Medico/a,1.0021819115256267,Hombre
2024,rm,Nutricionista,9.23925444225778,Hombre
2024,rm,Otro profesional capacitado en EMP y EMPAM,15.19708508028864,Hombre
2024,rm,Tecnico en enfermeria,27.119520264681558,Hombre
2025,rm,Enfermera/o,40.690693372456465,Hombre
2025,rm,Matrona/on,1.3252535561650827,Hombre
2025,rm,Medico/a,2.6767876506984756,Hombre
2025,rm,Nutricionista,10.809210945971806,Hombre
2025,rm,Otro profesional capacitado en EMP y EMPAM,12.075524653951648,Hombre
2025,rm,Tecnico en enfermeria,32.42252982075652,Hombre
